key,english,arabic,sources,placeholders,status
Guest,Guest,ضيف,components/CommandPalette.tsx; screens/Billing.tsx; screens/FolioView.tsx; screens/Guests.tsx; screens/Laundry.tsx; screens/Today.tsx,,translated
Guest allergy,Guest allergy,حساسية الضيف,screens/Kitchen.tsx,,translated
"Guest conversations on your own number - confirmations go out automatically, replies land here and on the desk queue.","Guest conversations on your own number - confirmations go out automatically, replies land here and on the desk queue.",محادثات الضيوف على رقمك - التأكيدات تُرسل تلقائياً، والردود تصل هنا وإلى قائمة الاستقبال.,screens/WhatsAppChat.tsx,,translated
"Guest laundry — pickup, processing, return and billing.","Guest laundry — pickup, processing, return and billing.",غسيل الضيوف — استلام ومعالجة وإرجاع وفوترة.,screens/Laundry.tsx,,translated
Guest name,Guest name,اسم الضيف,components/BookingDialog.tsx; screens/CRS.tsx; screens/POS.tsx,,translated
Guest request - SLA starts from priority at creation,Guest request - SLA starts from priority at creation,طلب ضيف - يبدأ مستوى الخدمة من الأولوية عند الإنشاء,screens/Tickets.tsx,,translated
Guest request: {req},Guest request: {req},طلب ضيف: {req},screens/HkApp.tsx,req,translated
Guest requests with SLA - Urgent 15m · High 30m · Medium 1h · Low 4h,Guest requests with SLA - Urgent 15m · High 30m · Medium 1h · Low 4h,طلبات الضيوف بمستوى خدمة - عاجل 15د · عالي 30د · متوسط 1س · منخفض 4س,screens/Tickets.tsx,,translated
Guests,Guests,الضيوف,components/CommandPalette.tsx; screens/Guests.tsx,,translated
HELD,HELD,معلّق,screens/Kitchen.tsx,,translated
Hall,Hall,القاعة,screens/Banquet.tsx,,translated
Held (house use / VIP / maintenance),Held (house use / VIP / maintenance),محجوز (استخدام الفندق / VIP / صيانة),screens/TapeChart.tsx,,translated
Here's what's happening today.,Here's what's happening today.,إليك ما يحدث اليوم.,screens/Today.tsx,,translated
Hold bill,Hold bill,تعليق الفاتورة,screens/POS.tsx,,translated
Hotel,Hotel,فندق,screens/Setup.tsx,,translated
"Hotel or vacation rental — same product, different defaults. Prefer talking? Connect Claude to Kamra's MCP and say ""onboard my property"".","Hotel or vacation rental — same product, different defaults. Prefer talking? Connect Claude to Kamra's MCP and say ""onboard my property"".","فندق أو إيجار عطلات — نفس المنتج بإعدادات افتراضية مختلفة. تفضّل الحديث؟ اربط Claude بـ MCP في كامرا وقل ""onboard my property"".",screens/Setup.tsx,,translated
Hourly,Hourly,بالساعة,screens/TapeChart.tsx,,translated
House (uniforms / linen),House (uniforms / linen),الفندق (زي / بياضات),screens/Laundry.tsx,,translated
Housekeeping,Housekeeping,التدبير المنزلي,screens/Dashboard.tsx; screens/HkApp.tsx; screens/Today.tsx,,translated
Housekeeping: {from} → {to} (click to advance),Housekeeping: {from} → {to} (click to advance),التدبير المنزلي: {from} ← {to} (انقر للتقديم),screens/Today.tsx,from to,translated
How do guests book this property? This sets Sellable Units and competition groups — not a separate product fork.,How do guests book this property? This sets Sellable Units and competition groups — not a separate product fork.,كيف يحجز الضيوف هذا العقار؟ يحدد الوحدات القابلة للبيع ومجموعات المنافسة — وليس منتجاً منفصلاً.,screens/Setup.tsx,,translated
ID on file,ID on file,هوية محفوظة,components/CheckInDialog.tsx,,translated
Import {n} booking{s},Import {n} booking{s},استيراد {n} حجز{s},screens/Setup.tsx,n s,translated
Importing…,Importing…,جارٍ الاستيراد…,screens/Setup.tsx,,translated
In / out,In / out,دخول / خروج,screens/FolioView.tsx,,translated
In hand,In hand,في اليد,screens/Laundry.tsx,,translated
In house,In house,داخل الفندق,screens/Dashboard.tsx,,translated
In kitchen,In kitchen,في المطبخ,screens/POS.tsx,,translated
In progress…,In progress…,قيد التنفيذ…,screens/HkApp.tsx,,translated
In {n} days,In {n} days,خلال {n} أيام,screens/Today.tsx,n,translated
In-house,In-house,داخل الفندق,screens/Dashboard.tsx; screens/Reports.tsx; screens/Today.tsx,,translated
In-house guests,In-house guests,الضيوف داخل الفندق,screens/Today.tsx,,translated
Individual units,Individual units,وحدات فردية,screens/Setup.tsx,,translated
Inside the {days}-day window - the {basis} ({amount}) will be charged.,Inside the {days}-day window - the {basis} ({amount}) will be charged.,داخل نافذة {days} يوم - سيتم تحصيل {basis} ({amount}).,components/CancelPanel.tsx,amount basis days,translated
Inspected,Inspected,تم الفحص,screens/Dashboard.tsx; screens/Today.tsx,,translated
Invoice,Invoice,فاتورة,components/CommandPalette.tsx; screens/Billing.tsx,,translated
Invoices,Invoices,الفواتير,components/CommandPalette.tsx,,translated
Item,Item,البند,screens/FolioView.tsx; screens/Laundry.tsx,,translated
Item (Shirt…),Item (Shirt…),البند (قميص…),screens/Laundry.tsx,,translated
KOT printer off,KOT printer off,طابعة أمر المطبخ متوقفة,screens/POS.tsx,,translated
KOT printer on,KOT printer on,طابعة أمر المطبخ شغّالة,screens/POS.tsx,,translated
Kamra will create a whole-property sellable unit for each listing. You can add physical rooms later for housekeeping if needed.,Kamra will create a whole-property sellable unit for each listing. You can add physical rooms later for housekeeping if needed.,ستنشئ كامرا وحدة قابلة للبيع للعقار بالكامل لكل قائمة. يمكنك إضافة غرف فعلية لاحقاً للتدبير المنزلي إن لزم.,screens/Setup.tsx,,translated
Keep,Keep,إبقاء,screens/HkApp.tsx,,translated
Keep the booking,Keep the booking,إبقاء الحجز,components/CancelPanel.tsx,,translated
Keyboard shortcuts,Keyboard shortcuts,اختصارات لوحة المفاتيح,screens/POS.tsx,,translated
Kind,Kind,النوع,screens/CashierTill.tsx,,translated
Kitchen pass,Kitchen pass,ممر المطبخ,screens/Kitchen.tsx,,translated
LATE,LATE,متأخر,screens/Kitchen.tsx,,translated
Language,Language,اللغة,screens/Login.tsx; screens/Settings.tsx,,translated
Last 14 days,Last 14 days,آخر 14 يوماً,screens/Reports.tsx,,translated
Last stay,Last stay,آخر إقامة,screens/Guests.tsx,,translated
Last {days} days,Last {days} days,آخر {days} أيام,screens/Laundry.tsx,days,translated
Laundry,Laundry,الغسيل,screens/HkApp.tsx; screens/Laundry.tsx,,translated
Laundry pickup request,Laundry pickup request,طلب استلام غسيل,screens/Laundry.tsx,,translated
Laundry rate card,Laundry rate card,بطاقة أسعار الغسيل,screens/Laundry.tsx,,translated
Leave blank to skip,Leave blank to skip,اتركه فارغاً للتخطي,screens/Setup.tsx,,translated
Ledgers,Ledgers,دفتر الأستاذ,screens/Reports.tsx,,translated
Lifetime {cur},Lifetime {cur},مدى الحياة {cur},screens/Guests.tsx,cur,translated
Light,Light,فاتح,screens/Settings.tsx,,translated
Listing code,Listing code,رمز القائمة,screens/Setup.tsx,,translated
Listing name,Listing name,اسم القائمة,screens/Setup.tsx,,translated
Live quote as you type,Live quote as you type,عرض سعر مباشر أثناء الكتابة,components/BookingDialog.tsx,,translated
Loading…,Loading…,جارٍ التحميل…,App.tsx; components/CheckInDialog.tsx; screens/Banquet.tsx; screens/FolioView.tsx; screens/HkApp.tsx; screens/Reports.tsx; screens/Settings.tsx,,translated
Log a lost or found item,Log a lost or found item,تسجيل مفقود أو موجود,screens/HkApp.tsx,,translated
Log an item,Log an item,تسجيل عنصر,screens/HkApp.tsx,,translated
Log it,Log it,سجّله,screens/HkApp.tsx,,translated
Log pickup request,Log pickup request,تسجيل طلب استلام,screens/Laundry.tsx,,translated
Logged {condition}: {desc},Logged {condition}: {desc},سُجّل {condition}: {desc},screens/HkApp.tsx,condition desc,translated
Manage,Manage,إدارة,screens/Marketplace.tsx,,translated
Manager flash,Manager flash,تنبيه المدير,screens/Reports.tsx,,translated
Mark ready,Mark ready,تعليم كجاهز,screens/Kitchen.tsx; screens/Laundry.tsx,,translated
Marketplace,Marketplace,السوق,screens/AppLauncher.tsx; screens/Marketplace.tsx,,translated
Max guests (base),Max guests (base),أقصى ضيوف (أساسي),screens/Setup.tsx,,translated
Meal plan,Meal plan,خطة الوجبات,components/BookingDialog.tsx,,translated
Meals,Meals,الوجبات,components/BookingDialog.tsx,,translated
Menu,Menu,القائمة,screens/POS.tsx,,translated
Minimum Nights,Minimum Nights,الحد الأدنى من الليالي,screens/Setup.tsx,,translated
Mode,Mode,الوضع,screens/CashierTill.tsx,,translated
Month by month,Month by month,شهراً بشهر,screens/Banquet.tsx,,translated
Month to date,Month to date,من بداية الشهر حتى اليوم,screens/Reports.tsx,,translated
Move,Move,نقل,screens/FolioView.tsx,,translated
Move or split this charge,Move or split this charge,نقل أو تقسيم هذه الرسوم,screens/FolioView.tsx,,translated
Move room,Move room,نقل الغرفة,screens/TapeChart.tsx,,translated
Movement,Movement,الحركة,screens/Reports.tsx,,translated
"Multiple rooms, optional F&B and events. Classic front-desk flow.","Multiple rooms, optional F&B and events. Classic front-desk flow.",غرف متعددة، مأكولات ومشروبات وفعاليات اختيارية. سير عمل الاستقبال الكلاسيكي.,screens/Setup.tsx,,translated
My Tasks{n},My Tasks{n},مهامي{n},screens/HkApp.tsx,n,translated
My Till,My Till,صندوقي,screens/CashierTill.tsx,,translated
NEW,NEW,جديد,screens/Kitchen.tsx,,translated
Name (Deluxe),Name (Deluxe),الاسم (ديلوكس),screens/Setup.tsx,,translated
Name or phone…,Name or phone…,الاسم أو الهاتف…,screens/Guests.tsx,,translated
Nationality,Nationality,الجنسية,screens/FolioView.tsx,,translated
Navigate,Navigate,التنقل,components/CommandPalette.tsx,,translated
Needs chasing{urgent},Needs chasing{urgent},يحتاج متابعة{urgent},screens/Banquet.tsx,urgent,translated
New,New,جديد,components/ResourceScreen.tsx,,translated
New Bill,New Bill,فاتورة جديدة,screens/POS.tsx,,translated
New bill,New bill,فاتورة جديدة,screens/POS.tsx,,translated
New booking,New booking,حجز جديد,AppShell.tsx; components/BookingDialog.tsx,,translated
New enquiry,New enquiry,استفسار جديد,screens/Banquet.tsx,,translated
New function enquiry,New function enquiry,استفسار مناسبة جديدة,screens/Banquet.tsx,,translated
New ticket,New ticket,تذكرة جديدة,screens/Tickets.tsx,,translated
New {thing},New {thing},جديد: {thing},components/ResourceScreen.tsx,thing,translated
Next,Next,التالي,components/ResourceScreen.tsx; screens/TapeChart.tsx,,translated
Next 7 days,Next 7 days,الـ 7 أيام القادمة,screens/Reports.tsx,,translated
Night audit,Night audit,تدقيق الليل,screens/Billing.tsx,,translated
Nightly price,Nightly price,السعر الليلي,screens/Setup.tsx,,translated
Nights,Nights,الليالي,components/BookingDialog.tsx; screens/CRS.tsx; screens/Guests.tsx,,translated
No arrivals expected today.,No arrivals expected today.,لا وصول متوقع اليوم.,screens/Today.tsx,,translated
No conversations yet,No conversations yet,لا محادثات بعد,screens/WhatsAppChat.tsx,,translated
No departures due today.,No departures due today.,لا مغادرة مستحقة اليوم.,screens/Today.tsx,,translated
No fee applied.,No fee applied.,لم تُطبَّق رسوم.,components/CancelPanel.tsx,,translated
No folios yet - they open automatically at check-in.,No folios yet - they open automatically at check-in.,لا فواتير بعد - تُفتح تلقائياً عند تسجيل الوصول.,screens/Billing.tsx,,translated
No free room of this type for these dates - check the tape chart for a move or an upgrade.,No free room of this type for these dates - check the tape chart for a move or an upgrade.,لا غرفة متاحة من هذا النوع لهذه التواريخ - راجع مخطط الغرف للنقل أو الترقية.,components/CheckInDialog.tsx,,translated
No functions in this window.,No functions in this window.,لا مناسبات في هذه الفترة.,screens/Banquet.tsx,,translated
No guest message in the last 24 hours - WhatsApp only delivers templates outside the session window. A guest writing to you reopens it.,No guest message in the last 24 hours - WhatsApp only delivers templates outside the session window. A guest writing to you reopens it.,لا رسالة من الضيف خلال 24 ساعة - واتساب يرسل القوالب فقط خارج نافذة الجلسة. رسالة من الضيف تعيد فتحها.,screens/WhatsAppChat.tsx,,translated
No guests found.,No guests found.,لم يُعثر على ضيوف.,screens/Guests.tsx,,translated
No halls set up for this property yet — add one under Halls & Venues.,No halls set up for this property yet — add one under Halls & Venues.,لا قاعات مُعدّة لهذا العقار بعد — أضف واحدة تحت القاعات والأماكن.,screens/Banquet.tsx,,translated
No laundry out right now.,No laundry out right now.,لا غسيل خارج الآن.,screens/Laundry.tsx,,translated
No matches.,No matches.,لا توجد نتائج.,components/CommandPalette.tsx; screens/POS.tsx,,translated
No open tickets - a quiet day at the desk.,No open tickets - a quiet day at the desk.,لا تذاكر مفتوحة - يوم هادئ في الاستقبال.,screens/Tickets.tsx,,translated
No open tickets. The kitchen is clear.,No open tickets. The kitchen is clear.,لا تذاكر مفتوحة. المطبخ خالٍ.,screens/Kitchen.tsx,,translated
No pickups waiting.,No pickups waiting.,لا استلامات بانتظار.,screens/Laundry.tsx,,translated
No rate card yet — add laundry rates in the Price menu tab.,No rate card yet — add laundry rates in the Price menu tab.,لا بطاقة أسعار بعد — أضف أسعار الغسيل في تبويب قائمة الأسعار.,screens/Laundry.tsx,,translated
No rates yet{hint},No rates yet{hint},لا أسعار بعد{hint},screens/Laundry.tsx,hint,translated
No room,No room,لا غرفة,screens/Tickets.tsx,,translated
No room auto-assigned — pick one from Reservations.,No room auto-assigned — pick one from Reservations.,لم تُعيَّن غرفة تلقائياً — اختر واحدة من الحجوزات.,components/BookingDialog.tsx,,translated
No rooms across the chain for these dates and party.,No rooms across the chain for these dates and party.,لا غرف عبر السلسلة لهذه التواريخ والعدد.,screens/CRS.tsx,,translated
No tables match.,No tables match.,لا طاولات مطابقة.,screens/POS.tsx,,translated
No transactions yet this session.,No transactions yet this session.,لا معاملات بعد في هذه الجلسة.,screens/CashierTill.tsx,,translated
No unassigned rooms right now.,No unassigned rooms right now.,لا غرف غير مخصصة الآن.,screens/HkApp.tsx,,translated
No-shows,No-shows,لم يحضروا,screens/Reports.tsx,,translated
Nobody is checked in right now.,Nobody is checked in right now.,لا أحد مسجّل وصوله الآن.,screens/Today.tsx,,translated
Non AC,Non AC,بدون مكيف,screens/Setup.tsx,,translated
Non-veg,Non-veg,غير نباتي,screens/Kitchen.tsx; screens/POS.tsx,,translated
Not a corporate booking,Not a corporate booking,ليس حجز شركات,screens/Banquet.tsx,,translated
Not a tax invoice yet — the number is issued when the folio is settled.,Not a tax invoice yet — the number is issued when the folio is settled.,ليست فاتورة ضريبية بعد — يُصدر الرقم عند تسوية الفاتورة.,screens/FolioView.tsx,,translated
Not fired,Not fired,لم يُرسل,screens/POS.tsx,,translated
"Notes (bag on door, after 3pm…)","Notes (bag on door, after 3pm…)",ملاحظات (حقيبة على الباب، بعد الساعة 3 مساءً…),screens/Laundry.tsx,,translated
Nothing assigned to you. Check,Nothing assigned to you. Check,لا شيء مخصص لك. تحقق,screens/HkApp.tsx,,translated
Nothing collected yet.,Nothing collected yet.,لم يُحصَّل شيء بعد.,screens/Reports.tsx,,translated
Nothing delivered yet.,Nothing delivered yet.,لم يُسلَّم شيء بعد.,screens/Laundry.tsx,,translated
Nothing here yet - start with a new enquiry.,Nothing here yet - start with a new enquiry.,لا شيء هنا بعد - ابدأ باستفسار جديد.,screens/Banquet.tsx,,translated
Nothing here yet.,Nothing here yet.,لا يوجد شيء هنا بعد.,components/ResourceScreen.tsx,,translated
"Nothing is waiting on you - every follow-up, hold and payment is current.","Nothing is waiting on you - every follow-up, hold and payment is current.",لا شيء ينتظرك - كل المتابعات والحجوزات والمدفوعات محدّثة.,screens/Banquet.tsx,,translated
Nothing recent.,Nothing recent.,لا شيء حديث.,screens/Laundry.tsx,,translated
Nothing yet.,Nothing yet.,لا شيء بعد.,screens/Banquet.tsx,,translated
OTA,OTA,OTA,screens/TapeChart.tsx; screens/Today.tsx,,translated
Occ %,Occ %,إشغال %,screens/Dashboard.tsx; screens/Reports.tsx,,translated
Occupancy,Occupancy,الإشغال,screens/Dashboard.tsx; screens/Reports.tsx; screens/Today.tsx,,translated
Occupied,Occupied,مشغولة,screens/Today.tsx,,translated
Occupied ({n}),Occupied ({n}),مشغولة ({n}),screens/POS.tsx,n,translated
Of everything decided,Of everything decided,من كل ما تقرر,screens/Banquet.tsx,,translated
One consolidated company bill across every room of the group,One consolidated company bill across every room of the group,فاتورة شركة موحّدة عبر كل غرف المجموعة,screens/FolioView.tsx,,translated
One listing for the whole property. No room numbers required.,One listing for the whole property. No room numbers required.,قائمة واحدة للعقار بالكامل. لا حاجة لأرقام غرف.,screens/Setup.tsx,,translated
Online check-in not sent,Online check-in not sent,لم يُرسل التسجيل عبر الإنترنت,components/CheckInDialog.tsx,,translated
"Online check-in sent, not filled","Online check-in sent, not filled",أُرسل التسجيل عبر الإنترنت، لم يُملأ,components/CheckInDialog.tsx,,translated
Online check-in {status},Online check-in {status},التسجيل عبر الإنترنت {status},components/CheckInDialog.tsx,status,translated
Open GRC,Open GRC,فتح بطاقة التسجيل,components/CheckInDialog.tsx,,translated
Open My Till,Open My Till,فتح صندوقي,screens/Billing.tsx,,translated
Open folios,Open folios,الفواتير المفتوحة,screens/Dashboard.tsx,,translated
Open search,Open search,فتح البحث,AppShell.tsx,,translated
Open session,Open session,فتح جلسة,screens/CashierTill.tsx,,translated
Open stay →,Open stay →,فتح الإقامة ←,screens/WhatsAppChat.tsx,,translated
Open tasks,Open tasks,المهام المفتوحة,screens/Dashboard.tsx; screens/Today.tsx,,translated
Open the enquiry,Open the enquiry,فتح الاستفسار,screens/Banquet.tsx,,translated
Open till,Open till,فتح الصندوق,screens/CashierTill.tsx,,translated
"Open your till, reconcile cash and close the session under Finance → Cashier. Collections live there now.","Open your till, reconcile cash and close the session under Finance → Cashier. Collections live there now.",افتح صندوقك، طابق النقد وأغلق الجلسة تحت المالية ← أمين الصندوق. التحصيلات هناك الآن.,screens/Billing.tsx,,translated
Opening float,Opening float,الرصيد الافتتاحي,screens/CashierTill.tsx,,translated
Optional code,Optional code,رمز اختياري,components/BookingDialog.tsx,,translated
Or jump to any screen.,Or jump to any screen.,أو انتقل لأي شاشة.,components/CommandPalette.tsx,,translated
Or pick another room,Or pick another room,أو اختر غرفة أخرى,components/CheckInDialog.tsx,,translated
Order items,Order items,عناصر الطلب,screens/POS.tsx,,translated
Ordered,Ordered,طُلب,screens/Kitchen.tsx,,translated
Out of Order,Out of Order,خارج الخدمة,screens/Today.tsx,,translated
Out of order,Out of order,خارج الخدمة,screens/Dashboard.tsx,,translated
Outside the fee window - cancellation is free.,Outside the fee window - cancellation is free.,خارج نافذة الرسوم - الإلغاء مجاني.,components/CancelPanel.tsx,,translated
Outstanding,Outstanding,مستحق,screens/Banquet.tsx; screens/Dashboard.tsx,,translated
Overdue,Overdue,متأخر,screens/Dashboard.tsx,,translated
Page not found.,Page not found.,الصفحة غير موجودة.,App.tsx,,translated
Page {n},Page {n},صفحة {n},components/ResourceScreen.tsx,n,translated
Paid,Paid,مدفوع,screens/FolioView.tsx; screens/Today.tsx,,translated
Paid out,Paid out,مدفوع للخارج,screens/CashierTill.tsx,,translated
Paid outs,Paid outs,مدفوعات للخارج,screens/CashierTill.tsx,,translated
Paid {cur},Paid {cur},مدفوع {cur},screens/Billing.tsx,cur,translated
Park this stay with no room; promote when inventory frees,Park this stay with no room; promote when inventory frees,علّق هذه الإقامة بلا غرفة؛ رقِّها عند توفر المخزون,components/BookingDialog.tsx,,translated
Parked with no room. Promote it from the reservation when a room frees. Auto-purges 2 days after departure.,Parked with no room. Promote it from the reservation when a room frees. Auto-purges 2 days after departure.,معلّقة بلا غرفة. رقِّها من الحجز عند توفر غرفة. تُحذف تلقائياً بعد يومين من المغادرة.,components/BookingDialog.tsx,,translated
"Part to move (percent, or {cur} before GST)","Part to move (percent, or {cur} before GST)",الجزء للنقل (نسبة، أو {cur} قبل GST),screens/FolioView.tsx,cur,translated
Party,Party,العدد,screens/POS.tsx,,translated
Pass an allowance,Pass an allowance,تمرير بدل,screens/FolioView.tsx,,translated
Password,Password,كلمة المرور,screens/Login.tsx,,translated
Pax,Pax,عدد الضيوف,screens/Banquet.tsx,,translated
Pax / plan,Pax / plan,الضيوف / الخطة,screens/FolioView.tsx,,translated
Pay at hotel,Pay at hotel,الدفع في الفندق,screens/Setup.tsx,,translated
Payment link,Payment link,رابط الدفع,screens/FolioView.tsx,,translated
Payments,Payments,المدفوعات,screens/FolioView.tsx,,translated
Per-item prices the app quotes and bills from. Blank express = 1.5× the normal rate.,Per-item prices the app quotes and bills from. Blank express = 1.5× the normal rate.,أسعار لكل بند يقتبسها التطبيق ويفوتر منها. المستعجل الفارغ = 1.5× السعر العادي.,screens/Laundry.tsx,,translated
Petty cash,Petty cash,النثرية,screens/CashierTill.tsx,,translated
Petty cash →,Petty cash →,النثرية ←,screens/CashierTill.tsx,,translated
Phone,Phone,الهاتف,components/BookingDialog.tsx; components/CheckInDialog.tsx; screens/Banquet.tsx; screens/CRS.tsx; screens/Guests.tsx; screens/POS.tsx; screens/Setup.tsx,,translated
Pick a hall.,Pick a hall.,اختر قاعة.,screens/Banquet.tsx,,translated
Pick a room,Pick a room,اختر غرفة,components/CheckInDialog.tsx,,translated
Pickup requests,Pickup requests,طلبات الاستلام,screens/Laundry.tsx,,translated
Pieces,Pieces,قطع,screens/Laundry.tsx,,translated
Place of supply,Place of supply,مكان التوريد,screens/FolioView.tsx,,translated
Position,Position,الموقع,screens/TapeChart.tsx,,translated
Post,Post,ترحيل,screens/CashierTill.tsx; screens/FolioView.tsx,,translated
Post a charge,Post a charge,ترحيل رسوم,screens/FolioView.tsx,,translated
Post future room & tax ahead of night audit,Post future room & tax ahead of night audit,ترحيل غرفة وضريبة مستقبلية قبل تدقيق الليل,screens/FolioView.tsx,,translated
Post to room {num},Post to room {num},ترحيل إلى غرفة {num},screens/HkApp.tsx,num,translated
Post {amount},Post {amount},ترحيل {amount},screens/HkApp.tsx,amount,translated
Posted,Posted,مُرحَّل,screens/Laundry.tsx,,translated
Posted {amount} {type} to room {num}.,Posted {amount} {type} to room {num}.,تم ترحيل {amount} {type} إلى غرفة {num}.,screens/HkApp.tsx,amount num type,translated
Posts tonight's room charges for every in-house guest and flags no-shows. Runs automatically at 3 AM; run it manually anytime.,Posts tonight's room charges for every in-house guest and flags no-shows. Runs automatically at 3 AM; run it manually anytime.,يرحّل رسوم غرف الليلة لكل ضيف داخل الفندق ويعلّم من لم يحضر. يعمل تلقائياً الساعة 3 صباحاً؛ شغّله يدوياً في أي وقت.,screens/Billing.tsx,,translated
Pre-checked-in,Pre-checked-in,تم التسجيل المسبق,screens/Today.tsx,,translated
Prev,Prev,السابق,components/ResourceScreen.tsx,,translated
Preview import,Preview import,معاينة الاستيراد,screens/Setup.tsx,,translated
Previous,Previous,السابق,screens/TapeChart.tsx,,translated
Price menu,Price menu,قائمة الأسعار,screens/Laundry.tsx,,translated
Print,Print,طباعة,screens/Reports.tsx,,translated
Print / share the confirmation letter,Print / share the confirmation letter,طباعة / مشاركة رسالة التأكيد,components/CancelPanel.tsx,,translated
Print bill,Print bill,طباعة الفاتورة,screens/POS.tsx,,translated
Print folio,Print folio,طباعة الفاتورة,screens/FolioView.tsx,,translated
Print invoice,Print invoice,طباعة الفاتورة,screens/FolioView.tsx,,translated
Priority,Priority,الأولوية,screens/Tickets.tsx,,translated
Private,Private,خاص,screens/Setup.tsx,,translated
Proforma,Proforma,فاتورة أولية,screens/FolioView.tsx,,translated
Properties,Properties,العقارات,screens/Dashboard.tsx,,translated
Property,Property,العقار,AppShell.tsx; screens/Dashboard.tsx,,translated
Property name *,Property name *,اسم العقار *,screens/Setup.tsx,,translated
Provisional Bill,Provisional Bill,فاتورة مؤقتة,screens/FolioView.tsx,,translated
Quote,Quote,عرض سعر,components/BookingDialog.tsx,,translated
Rate,Rate,السعر,screens/Laundry.tsx,,translated
Rate {cur},Rate {cur},السعر {cur},screens/Laundry.tsx,cur,translated
Ready,Ready,جاهز,screens/Kitchen.tsx,,translated
Ready / unpaid,Ready / unpaid,جاهز / غير مدفوع,screens/POS.tsx,,translated
Ready by,Ready by,جاهز بحلول,screens/Laundry.tsx,,translated
Reason,Reason,السبب,components/CancelPanel.tsx; screens/CashierTill.tsx; screens/FolioView.tsx,,translated
"Reason (guest declined, duplicate…)","Reason (guest declined, duplicate…)",السبب (رفض الضيف، مكرر…),screens/Laundry.tsx,,translated
Reason (optional),Reason (optional),السبب (اختياري),screens/HkApp.tsx,,translated
Reason (required - goes on the record),Reason (required - goes on the record),السبب (مطلوب - يُسجَّل),screens/FolioView.tsx,,translated
Reason (required — e.g. deposit returned),Reason (required — e.g. deposit returned),السبب (مطلوب — مثل إعادة العربون),screens/FolioView.tsx,,translated
Reason (required),Reason (required),السبب (مطلوب),screens/FolioView.tsx,,translated
Recall,Recall,استدعاء,screens/Kitchen.tsx,,translated
Recent,Recent,حديث,screens/Laundry.tsx,,translated
Recent laundry billing,Recent laundry billing,فوترة غسيل حديثة,screens/Laundry.tsx,,translated
Recent runs,Recent runs,تشغيلات حديثة,screens/Billing.tsx,,translated
Recent transactions,Recent transactions,معاملات حديثة,screens/CashierTill.tsx,,translated
Record,Record,تسجيل,screens/FolioView.tsx,,translated
Record a payment,Record a payment,تسجيل دفعة,screens/FolioView.tsx,,translated
Ref,Ref,مرجع,screens/CashierTill.tsx,,translated
Reference (optional),Reference (optional),مرجع (اختياري),screens/FolioView.tsx,,translated
Refresh,Refresh,تحديث,screens/HkApp.tsx; screens/Kitchen.tsx,,translated
Refund,Refund,استرداد,screens/FolioView.tsx,,translated
Refund money (deposit return / over-collection),Refund money (deposit return / over-collection),استرداد مال (إعادة عربون / تحصيل زائد),screens/FolioView.tsx,,translated
Registration,Registration,التسجيل,components/CheckInDialog.tsx,,translated
Remove,Remove,إزالة,screens/Setup.tsx,,translated
Reply to the guest…,Reply to the guest…,الرد على الضيف…,screens/WhatsAppChat.tsx,,translated
Report date,Report date,تاريخ التقرير,screens/Reports.tsx,,translated
Reprint KOT,Reprint KOT,إعادة طباعة أمر المطبخ,screens/POS.tsx,,translated
Request implementation,Request implementation,طلب التنفيذ,screens/Marketplace.tsx,,translated
Res,Res,حجز,screens/POS.tsx,,translated
Reservations,Reservations,الحجوزات,components/CommandPalette.tsx,,translated
Reserve,Reserve,احجز,screens/POS.tsx,,translated
Resolve,Resolve,حل,screens/Tickets.tsx,,translated
Resolved,Resolved,محلول,screens/Tickets.tsx,,translated
Restaurant POS,Restaurant POS,نقطة بيع المطعم,screens/POS.tsx,,translated
Return & deliver,Return & deliver,إرجاع وتسليم,screens/Laundry.tsx,,translated
Return to room {room},Return to room {room},إرجاع إلى غرفة {room},screens/Laundry.tsx,room,translated
Returning guest · {n} stay{s},Returning guest · {n} stay{s},ضيف عائد · {n} إقامة{s},components/BookingDialog.tsx,n s,translated
RevPAR,RevPAR,إيراد لكل غرفة متاحة,screens/Dashboard.tsx; screens/Reports.tsx,,translated
RevPAR {amount},RevPAR {amount},إيراد لكل غرفة {amount},screens/Today.tsx,amount,translated
RevPAR {cur},RevPAR {cur},إيراد لكل غرفة {cur},screens/Reports.tsx,cur,translated
RevPAX,RevPAX,إيراد لكل ضيف,screens/Reports.tsx,,translated
RevPAX = total guest spend (room + F&B + experiences + extras) per in-house guest - the ancillary revenue RevPAR can't see.,RevPAX = total guest spend (room + F&B + experiences + extras) per in-house guest - the ancillary revenue RevPAR can't see.,إيراد لكل ضيف = إجمالي إنفاق الضيف (غرفة + مأكولات + تجارب + إضافات) لكل ضيف داخل الفندق - الإيراد الإضافي الذي لا يراه متوسط الغرفة.,screens/Reports.tsx,,translated
Revenue,Revenue,الإيرادات,screens/Dashboard.tsx; screens/Laundry.tsx; screens/Today.tsx,,translated
Revenue (day),Revenue (day),الإيرادات (اليوم),screens/Reports.tsx,,translated
Revenue {cur},Revenue {cur},الإيرادات {cur},screens/Reports.tsx,cur,translated
Review,Review,مراجعة,screens/TapeChart.tsx,,translated
Room,Room,غرفة,components/CheckInDialog.tsx; screens/FolioView.tsx; screens/Laundry.tsx; screens/TapeChart.tsx; screens/Tickets.tsx; screens/Today.tsx,,translated
Room (optional),Room (optional),الغرفة (اختياري),screens/HkApp.tsx,,translated
